Year,Anodontostoma_chacunda,Clupeoidei,Pellona_ditchela,Tenualosa_toli,Mugilidae,Total
1950,0.001,0.001,0.001,0.001,3200,3200.00
1951,0.001,0.001,0.001,0.001,3400,3400.00
1952,0.001,0.001,0.001,0.001,2100,2100.00
1953,0.001,0.001,0.001,0.001,2500,2500.00
1954,0.001,0.001,0.001,0.001,2400,2400.00
1955,0.001,0.001,0.001,0.001,2900,2900.00
1956,0.001,0.001,0.001,0.001,2400,2400.00
1957,0.001,0.001,0.001,0.001,2700,2700.00
1958,0.001,0.001,0.001,0.001,3100,3100.00
1959,0.001,0.001,0.001,0.001,3500,3500.00
1960,0.001,0.001,0.001,0.001,3700,3700.00
1961,0.001,0.001,0.001,0.001,3700,3700.00
1962,0.001,0.001,0.001,0.001,3800,3800.00
1963,400,0.001,0.001,0.001,4400,4800.00
1964,300,0.001,0.001,0.001,6000,6300.00
1965,400,0.001,0.001,0.001,4600,5000.00
1966,300,0.001,0.001,0.001,4600,4900.00
1967,400,0.001,0.001,0.001,4500,4900.00
1968,300,0.001,0.001,0.001,4200,4500.00
1969,400,0.001,0.001,0.001,5100,5500.00
1970,490,0.001,190,100,4290,5070.00
1971,420,0.001,230,100,4130,4880.00
1972,560,0.001,250,0.001,2720,3530.00
1973,560,0.001,270,0.001,3150,3980.00
1974,670,0.001,265,0.001,5519,6454.00
1975,635,0.001,380,188,7801,9004.00
1976,471,0.001,314,671,7807,9263.00
1977,476,0.001,363,212,5985,7036.00
1978,1431,0.001,359,43,9204,11037.00
1979,878,0.001,321,78,8398,9675.00
1980,1029,0.001,590,115,9812,11546.00
1981,949,0.001,244,144,9707,11044.00
1982,1464,16,769,96,12086,14431.00
1983,1674,14,1165,77,13074,16004.00
1984,1904,3,1845,90,11246,15088.00
1985,3920,8,4628,597,14002,23155.00
1986,4607,30,4265,249,15395,24546.00
1987,2472,1,3520,140,15436,21569.00
1988,2195,0,4620,751,35000,42566.00
1989,2364,49,4432,455,29743,37043.00
1990,3140,41,4950,168,30326,38625.00
1991,3171,1,4802,194,36849,45017.00
1992,2435,0,5522,315,36106,44378.00
1993,2633,45,6225,519,21342,30764.00
1994,2595,17,7260,626,20886,31384.00
1995,2338,30,6091,456,18824,27739.00
1996,2167,107,11227,429,23954,37884.00
1997,1916,102,10919,503,26176,39616.00
1998,1474,22,6113,637,25858,34104.00
1999,3009,45,4448,681,26951,35134.00
2000,2645,13,7069,539,31948,42214.00
2001,2769,50,6884,681,31023,41407.00
2002,2350,305,7236,620,27909,38420.00
2003,2446,75,5569,1142,28158,37390.00
2004,2843,122,5569,645,29021,38200.00
2005,4117,58,9514,909,30901,45499.00
2006,4865,64,12546,1121,33096,51692.00
2007,5613,70,13131,510,49016,68340.00
2008,3592,34,9544,1526,32909,47605.00
2009,3172,20,9753,1854,38610,53409.00
2010,5102,23,7229,949,39090,52393.00
2011,7680,27,6399,750,52305,67161.00
2012,8251,45,9016,267,51721,69300.00
2013,8320,208,10883,161,53630,73202.00
2014,11077,30,12501,212,23166,46986.00
2015,9012,170,15341,80,28017,52620.00
2016,10761,131,13319,203,28178,52592.00
2017,10504.48,42,13797,95.44,29636,54074.92
2018,11055,25,15637,219,24001.13,50937.13
2019,11367.66,18.49,14113.99,220,31814.05,57534.19
