Year,Pleuronectiformes,Epinephelinae,Lates_calcarifer,Sillago_sihama,Gymnocephalus_cernua,Arripis_trutta,Pagrus_auratus,Platycephalus,Lutjanidae,Leiognathus_spp,Actinopterygii,Perciformes,Sarda_orientalis,Acanthocybium_solandri,Auxis_thazard_A. rochei,Thunnus_tonggol,Thunnus_obesus,Istiophorus_platypterus,Istiompax_indica,Tetrapturus_audax,Xiphia_ gladius,Alopias_spp,Prionace_glauca,Crustacea,Mollusca,Muraenesox_spp,Chirocentrus_spp,Auxis_rochei,Pectinidae,Sardinella_gibbosa,Scomberoides_spp,Selaroides_leptolepis,Rastrelliger_brachysoma,Total
1950,400,500,100,800,300,1800,1000,400,300,700,79452,5300,54,105,177,140,5,191,44,1,27,6,47,500,300,3000,1700,0.0001,300,100,400,700,400,99249.0001
1951,400,300,300,800,500,2000,1000,400,400,500,83066,5300,89,155,969,116,30,173,44,6,25,32,269,500,400,3000,1600,0.0001,300,800,300,1300,2200,107274.0001
1952,700,200,300,1000,500,2500,1000,500,500,400,129745,6400,74,126,1047,119,312,220,175,85,35,35,293,600,1500,3000,2000,0.0001,300,900,300,1100,2500,158466.0001
1953,500,200,300,800,600,3000,1000,700,500,300,134609,6500,58,97,1061,119,1686,320,530,274,56,35,297,700,2800,4700,2000,0.0001,300,900,200,1200,2600,168942.0001
1954,300,200,300,800,600,4000,1000,500,500,300,207585,6400,60,83,1306,126,6198,482,809,659,168,44,367,1200,400,1800,3200,0.0001,1700,1000,200,1200,2800,246287.0001
1955,600,200,400,900,600,4000,900,500,500,300,207308,7400,57,69,1305,126,5534,387,657,355,110,44,367,1000,400,3300,2500,0.0001,2400,1000,200,1200,2800,247419.0001
1956,900,200,400,800,500,4000,900,200,500,300,318799,5100,70,72,1386,127,6806,599,966,1027,221,46,389,1500,400,1400,3600,0.0001,2500,1000,200,1300,2900,359108.0001
1957,400,200,400,800,800,5000,1000,200,500,300,325147,5100,70,75,1326,126,7421,505,1058,1434,183,44,372,1300,300,700,3200,0.0001,3000,1000,200,1200,2800,366161.0001
1958,1300,300,400,900,700,4000,1000,300,500,400,329608,7100,76,90,1325,126,5523,361,805,1298,341,44,371,2100,300,1000,3000,0.0001,1800,1000,200,1400,2900,370568.0001
1959,1000,300,300,900,800,4000,1000,300,500,500,338534,8100,78,104,1327,126,4470,413,809,1213,311,44,372,1900,100,700,3000,0.0001,2100,1000,300,1400,2800,378801.0001
1960,1400,500,400,1000,700,3000,1000,300,500,400,343403,9300,96,104,1313,172,7106,518,1134,1181,339,44,367,2000,200,700,3300,0.0001,2600,1000,300,1200,2800,388377.0001
1961,800,500,500,1000,600,2600,1000,200,700,400,365359,8400,116,104,1412,175,7364,444,857,1589,377,47,394,3000,300,1000,4300,0.0001,3000,1200,400,1500,3600,413238.0001
1962,1700,800,500,1100,500,4600,1000,300,700,400,374585,8100,165,173,1753,181,9742,458,1157,913,355,58,488,3600,500,800,5500,0.0001,6200,1300,400,1500,3700,433228.0001
1963,1000,800,500,1200,600,2600,1000,700,700,500,392728,9100,213,243,1795,183,6743,383,714,759,375,59,497,3700,500,800,4900,0.0001,6800,1300,400,1600,3800,447192.0001
1964,1400,900,500,1100,500,3500,1000,600,800,700,395542,9100,208,208,1828,272,6729,293,54,812,528,60,506,7800,1400,200,4600,0.0001,6900,1400,500,2000,4100,456040.0001
1965,1100,900,600,1200,700,2900,1000,700,900,700,403166,10100,202,173,1924,320,7818,491,55,1313,928,64,534,4000,800,400,4800,0.0001,11000,1600,500,2000,4600,467488.0001
1966,1200,1100,600,1200,700,4600,700,600,1000,900,408306,10100,147,305,3387,417,5402,303,58,614,430,74,617,5100,500,200,5500,0.0001,13100,1700,900,2200,5000,476960.0001
1967,1400,1300,600,1200,800,6200,900,700,900,1000,447531,10200,161,434,3545,508,8526,604,59,1115,1330,75,627,8100,800,300,6000,0.0001,13400,1600,600,2300,4700,527515.0001
1968,1500,1100,600,1300,600,6800,800,900,1000,1100,480930,14200,175,426,3718,418,9360,904,59,1415,1231,75,627,4700,400,500,5600,0.0001,13500,1700,400,2400,5000,563438.0001
1969,1000,900,700,1300,800,3900,700,1000,1100,700,495207,14100,192,416,3974,332,5997,706,60,1216,1131,77,650,7100,600,400,7300,0.0001,4700,1900,400,2200,5400,566158.0001
1970,1280,1040,600,1700,900,4200,900,1100,1280,340,526745,13410,154,310,3524,294,8119,498,756,1014,1129,68,569,7900,600,600,8760,0.0001,3200,1600,200,1520,6400,600710.0001
1971,1180,1100,600,1400,800,3200,900,900,1250,310,550332,13610,122,203,3392,411,5018,297,128,418,602,66,552,10400,500,300,7560,0.0001,6300,1600,300,1780,6500,622031.0001
1972,1220,1200,700,1400,1200,4700,1100,800,1250,270,583765,9320,187,229,4469,430,3040,211,133,271,286,82,688,12000,800,100,6770,0.0001,7700,1500,200,2170,6200,654391.0001
1973,2070,1100,1000,1300,1400,2800,900,100,1150,470,565528,9720,217,255,4806,476,2709,238,139,271,261,94,787,9800,500,400,6970,0.0001,900,2400,200,3400,3700,626061.0001
1974,4274,1088,828,1533,1161,3756,833,104,803,777,610229,9100,201,250,4678,454,5088,313,171,322,358,107,902,12777,853,421,7443,0.0001,1965,3121,71,3765,6676,684422.0001
1975,3516,1232,6540,1898,1005,3123,708,53,2133,642,685085,7182,183,244,6145,881,11748,406,162,491,532,155,1303,11754,1060,1990,11081,0.0001,1573,14980,2488,15328,28078,823699.0001
