variable,year,mean,sd,lower,upper
b_t,1951,591228.769572247,318263.584921687,280330.546701139,1121719.49262113
b_t,1952,485881.310691399,273791.416481728,209995.234164618,981963.693812097
b_t,1953,455146.79040844,264362.831624557,190201.14929586,923995.443209047
b_t,1954,443528.073885412,252003.699164393,186434.522051852,890540.198607251
b_t,1955,484641.575609657,281816.995337756,207819.614881773,954768.79392385
b_t,1956,441909.742656218,265168.023130346,185705.052767679,920848.644361579
b_t,1957,410113.772552718,247066.567521642,175152.461309147,810776.085022749
b_t,1958,436888.718980651,255837.261163195,181867.754269774,865174.328975338
b_t,1959,417962.154037259,241865.782188657,175841.945355272,833950.732277951
b_t,1960,435816.704603333,250131.563736896,183265.579696301,868077.212755379
b_t,1961,438434.310896456,258751.81219492,180475.303957928,881637.132409344
b_t,1962,392654.438189692,235100.230782523,165312.992634924,812651.306424178
b_t,1963,422328.358834394,248306.812268622,171478.839331132,853783.851378899
b_t,1964,460185.966721428,275670.096511659,191038.012267354,953576.681845892
b_t,1965,403648.357466737,238019.64701737,169284.568256522,824188.235749745
b_t,1966,346946.612437173,199027.862097538,145312.760078153,693654.790687227
b_t,1967,293026.160084971,168109.519544269,123602.666083862,585640.274301051
b_t,1968,257116.960409093,157076.904626323,108010.368773334,523871.794148248
b_t,1969,288090.035001106,168830.573665942,121360.835966479,590569.312045663
b_t,1970,326159.584275361,190629.641152777,134518.520379277,648389.144817543
b_t,1971,298253.596962298,173204.9523748,128758.089078204,590886.965329442
b_t,1972,256959.72610329,150804.680140066,108546.773251587,510042.0488724
b_t,1973,279935.107002679,162455.093994283,117761.719800526,563479.732425772
b_t,1974,363510.726714,206901.820769242,156461.616817142,732222.46052579
b_t,1975,491426.135279575,288321.09475878,207731.492847802,975065.18412076
b_t,1976,567570.925132538,332789.699391523,232050.975249108,1155985.81231566
b_t,1977,480379.710829393,285413.662489352,201706.043354031,984454.241233896
b_t,1978,444077.216530723,263094.941344775,187906.11378274,897866.11715639
b_t,1979,451043.558038285,263689.465333289,190881.800986729,883367.871712613
b_t,1980,516545.110396984,303850.07423073,218690.403914756,1019473.06947615
b_t,1981,544940.606652664,317764.238879975,226939.376391952,1082875.23994955
b_t,1982,601646.544895165,344401.731317248,255939.067095845,1194315.86178409
b_t,1983,585351.9489287,333388.304740355,245487.079475377,1202208.95731933
b_t,1984,567281.022154105,332653.779109208,236787.029016113,1140470.71159865
b_t,1985,577643.899142138,347862.538814072,249283.553361618,1154093.44303325
b_t,1986,563890.025079335,325904.089726552,243149.568279177,1120739.18635416
b_t,1987,728414.261235966,429633.869121375,314948.493208165,1454403.46761796
b_t,1988,892758.722581869,499154.408577058,386871.025042682,1727695.33331692
b_t,1989,966192.924947185,549002.717883917,427975.915349738,1935180.97546531
b_t,1990,991958.65702822,571553.751031358,439500.671576989,1984801.44751131
b_t,1991,935086.722842257,543224.307535654,404822.547781877,1863551.67703165
b_t,1992,1004371.31053178,580383.278176831,429004.973926754,2041488.64837616
b_t,1993,727133.06968049,422793.121384161,309198.159810915,1450936.86391845
