variable,year,mean,sd,lower,upper
b_t,1951,204389.960019212,86436.3398239852,101713.809080746,367272.721518089
b_t,1952,115.078575094025,204.389447611664,8.64959264955259,387.453925440681
b_t,1953,3.02510533722329,6.74119190632808,0.175651757423284,10.099931400874
b_t,1954,0.522849226751866,0.940974211336375,0.0887706518372837,1.77009633266497
b_t,1955,0.314994851955312,0.602422819796228,0.0800232335936032,0.987902470730752
b_t,1956,0.246123069544122,0.427433544837958,0.0771934793209224,0.626313447514922
b_t,1957,0.210102081827024,0.32656708703949,0.0756827984090793,0.526482812787582
b_t,1958,0.209798488601057,0.24225742199142,0.0730660286497961,0.540767996602672
b_t,1959,0.210241124683605,0.336148945616567,0.0751266302481462,0.462894167556237
b_t,1960,0.207813850600229,0.32277001453982,0.0738881681672814,0.477972991642893
b_t,1961,0.189775756726163,0.248113598075701,0.0735411010240906,0.389730098664011
b_t,1962,0.185587879648437,0.160897577799527,0.0770959065509891,0.423831218590699
b_t,1963,0.180003394215309,0.19773431938545,0.0733489808100536,0.367766174045803
b_t,1964,0.175127884507503,0.153052865184395,0.075434054963464,0.362745940724313
b_t,1965,0.185237990762004,0.238045959658951,0.0737507471787279,0.405424182239301
b_t,1966,0.181228607298347,0.175827297689177,0.0743030317417729,0.383147680228195
b_t,1967,0.197077283705567,0.353319648069268,0.075273687757458,0.426049868644083
b_t,1968,0.407701811582504,0.718245680891313,0.08242388864097,1.34495430272438
b_t,1969,6.59802987369908,17.2949487876179,0.371910577707012,19.9037066697285
b_t,1970,1959.31970060947,3097.84090609528,375.442956351913,5716.95238235241
b_t,1971,12413.8772160581,18591.2505315053,1328.65989264558,38349.4180237838
b_t,1972,34328.2622262818,54119.3167627023,2687.83203420395,122480.999027999
b_t,1973,50316.5868053935,75880.4699481456,4272.34054717033,166211.986375635
b_t,1974,47685.3390908378,65009.0444995571,4319.08555689266,161441.730895282
b_t,1975,60454.9813055024,86461.5486299854,5424.3157332724,201012.501163529
b_t,1976,57995.0322963473,78000.3383151187,5577.59252428093,194119.960576022
b_t,1977,62606.2483325165,86646.966134717,4756.04202401888,227382.624288226
b_t,1978,50687.6981352092,70966.9170899445,4572.08641592784,157208.114291061
b_t,1979,48010.3923058724,61642.7385218983,4948.40003477845,156793.02534881
b_t,1980,58640.5417963508,81157.9728620531,6092.37012160223,194942.999384035
b_t,1981,56280.2024320379,82350.2125991404,5201.14998655141,191394.260083853
b_t,1982,79071.7876841515,99666.9487643876,7898.95969131206,248213.810813191
b_t,1983,92873.6103399791,110371.689858858,10251.6239510218,294254.741292758
b_t,1984,115983.669783471,112518.632894383,14206.73557786,323741.130881692
b_t,1985,150886.424887709,148229.335085861,17966.6069232545,438773.543241273
b_t,1986,140626.229394716,139028.120249956,18038.5295697884,396206.252521728
b_t,1987,161262.602784008,150103.908442089,20053.7970140964,453951.86665698
b_t,1988,131217.545599251,123579.096655575,15040.636368502,366070.346493988
b_t,1989,147210.662765486,149699.793312569,18738.7402049794,421841.07526783
b_t,1990,143920.44559355,134620.964317075,20373.8312187798,399750.116361815
b_t,1991,148198.176978934,150290.52795506,19843.5666094149,428904.358834027
b_t,1992,143894.910672625,135172.606292086,19488.7193764781,418390.922481691
b_t,1993,161054.854597083,156960.267023719,21026.2776859686,472899.983525677
b_t,1994,141684.741026492,129587.908328107,21574.1503174594,364982.271374544
b_t,1995,155263.442098622,141560.029378536,17174.8948814047,434967.002582651
b_t,1996,161334.013609587,149311.395744801,24904.1446317777,438889.216282485
b_t,1997,161351.962482166,141733.536711388,27910.6138637511,431729.602723579
b_t,1998,132887.117348818,115531.558042592,19390.8126644111,356618.429039255
b_t,1999,125821.229320526,120907.200266303,13552.2453633025,351600.340315865
b_t,2000,119789.354621273,119862.067331801,16791.2585128209,336016.199230491
b_t,2001,136614.77047024,137556.580813646,18272.3036039575,409199.405220411
b_t,2002,138484.375019506,134484.631103681,20890.4944500676,396877.591071318
b_t,2003,131201.666661771,134387.237923194,14759.7014017352,394166.981365725
b_t,2004,150987.576032003,166377.580750325,16139.2990924667,464874.039409408
b_t,2005,150673.274582491,150026.644309392,22010.1640438675,439550.243110357
b_t,2006,162795.936612527,139486.667731961,28559.7515767073,429993.087093078
b_t,2007,157252.636869014,144961.090693727,25916.4998431628,423069.021644926
b_t,2008,148523.329107152,157456.434694749,19951.5677828565,450758.096798961
b_t,2009,137774.618086191,142337.210787536,19181.0659035832,401991.742151947
b_t,2010,126168.866330455,120591.2577714,20802.4552512753,356997.476237377
b_t,2011,135047.353751673,133986.84560267,20585.5168484087,387846.860539121
b_t,2012,144663.819863714,136888.405078263,22132.7318751456,405854.156346423
b_t,2013,145679.428622459,125048.092671565,23967.5301707392,377976.665075979
b_t,2014,161682.766672041,136576.573615168,25098.6946011501,400813.863029963
b_t,2015,156618.189417928,141700.480191465,27110.1080175427,440990.109724508
b_t,2016,128629.621871646,123302.924097885,18293.8754594249,366205.051099811
b_t,2017,127395.008935405,129565.719412047,18786.131477173,345715.419994919
b_t,2018,137117.667625832,139916.733409268,22115.000355773,422332.07318241
b_t,2019,112129.728361865,51430.0514136164,51314.1109137019,206556.881820494
bmsy,1951,128507.809192414,52637.1474892824,66276.8534274259,228719.33292977
ck,1951,4.52056410611765e-09,1.78870224289654e-09,2.18608543017951e-09,7.54411265221757e-09
